RouteID,TotalStops,TotalDistance,AverageStopDistance,VehicleCapacity,Station,DepartureHour,DayOfWeek,PeakHour,DropoffCount,RouteScore,DropoffRatio,DistancePerStop,CapacityUtilization,StopsPerKM
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,119,33.57307344235748,0.282126667582836,3313071.0,7,16,4,0,118,High,0.9915966386554622,0.282126667582836,0.035616502030895204,3.5445071838392845
RouteID_0016bc70-cb8d-48b0-aa55-8ee50bdcdb59,106,40.176730917058386,0.3790257633684753,4247527.0,13,15,5,0,105,High,0.9905660377358491,0.3790257633684753,0.02472026663985891,2.638343080198049
RouteID_001948e9-4675-486d-9ec5-912fd8e0770f,128,51.74751888691947,0.4042774913040584,4247527.0,14,15,5,0,127,High,0.9921875,0.4042774913040584,0.029899751078686494,2.4735485440318437
RouteID_001b4ee3-c4f2-467f-932b-c85524d1021f,141,45.68640482163426,0.3217352452227765,3313071.0,12,15,2,0,141,High,1.0,0.3240170554725834,0.04255870157929003,3.0862572914301873
RouteID_0021a2aa-780f-460d-b09a-f301709e2523,155,48.500407564979476,0.3129058552579321,3313071.0,10,14,6,0,154,High,0.9935483870967742,0.3129058552579321,0.04648255349794798,3.1958494326534344
RouteID_0036cf37-1c93-48f8-b337-3dd6d1a195d8,190,52.43054703873604,0.2759502475722949,4247527.0,6,15,3,0,189,High,0.9947368421052631,0.2759502475722949,0.04449647995174604,3.6238416482594915
RouteID_00437423-5a8f-4fac-8efa-85264f0a3944,161,70.17143232046148,0.435847405717152,3313071.0,1,13,2,0,160,Medium,0.9937888198757764,0.435847405717152,0.04829356207579011,2.2943809849104873
RouteID_00573a3d-b909-42ee-8a99-c6474309d96b,154,80.59815931943294,0.5199881246415028,4247527.0,2,11,0,0,154,Medium,1.0,0.5233646709054087,0.03625639107179307,1.9107136105882412
RouteID_00575a14-7d19-4291-8853-8f7095ed1bc6,176,40.366527296405245,0.22805947625087708,3313071.0,14,15,5,0,176,Medium,1.0,0.22935526872957526,0.05312291828336912,4.360048084088554
RouteID_00575ca4-8a63-49d2-96c8-9b347be5ba6c,59,25.927180100035113,0.4394437305090697,3313071.0,7,15,1,0,58,High,0.9830508474576272,0.4394437305090697,0.017506416252473914,2.2756042027077252
RouteID_00595235-52e7-4b68-883c-70482701dea0,129,31.11952735116762,0.24123664613308232,3313071.0,11,16,1,0,128,Medium,0.9922480620155039,0.24123664613308232,0.03863484966063208,4.145307174633546
RouteID_006f581c-3087-4edf-8802-278b078157b9,184,56.50471727200596,0.3054309041730052,3313071.0,9,15,2,0,184,Medium,1.0,0.3070908547391628,0.05553759638715862,3.256365289189029
RouteID_00747543-3f2f-47ae-a2f2-91b30ce207ab,173,58.06651289502674,0.335644583208247,3313071.0,5,15,2,0,172,High,0.9942196531791907,0.335644583208247,0.051915579231474364,2.9793419886045376
RouteID_0074e307-23c1-4b15-afa2-e58b45e4403c,161,30.451496816904427,0.18913973178201507,3313071.0,3,13,4,0,160,Medium,0.9937888198757764,0.18913973178201507,0.04829356207579011,5.287096426426719
RouteID_0076d53c-6bfa-4e22-b39e-08769fb8e4d3,129,43.632639129133416,0.3356356856087186,3313071.0,14,14,4,0,129,Medium,1.0,0.3382375126289412,0.038936684423605775,2.956502347204274
RouteID_007a8397-37f4-4775-a452-c6934167526b,176,31.452720394302677,0.17870863860399247,3313071.0,10,15,4,0,175,Medium,0.9943181818181818,0.17870863860399247,0.052821083520395426,5.595700397091265
RouteID_007b8544-11dc-47b2-be61-0095f8f2af71,78,26.005384935815417,0.33340237097199255,3313071.0,7,16,5,0,77,High,0.9871794871794872,0.33340237097199255,0.02324127674897399,2.9993787899127
RouteID_0091a35c-85fa-4b5e-90cf-4778f441753e,145,41.93670502431594,0.28921865534010993,3313071.0,9,14,1,0,144,Medium,0.993103448275862,0.28921865534010993,0.0434642058682111,3.4575916232790678
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,153,58.985273992498406,0.3855246666176366,4247527.0,0,14,1,0,152,Medium,0.9934640522875817,0.3855246666176366,0.03578552885008147,2.5938677511179846
RouteID_00a25e47-65c9-4efc-bfe9-8d9648a0df4e,157,29.552341087786818,0.1882314718967313,3313071.0,4,13,1,0,156,High,0.9936305732484076,0.1882314718967313,0.047086223023895354,5.312607875417486
RouteID_00ace8b4-30c6-4a20-a723-74ece636a0da,173,36.838379282634634,0.21171482346341744,3313071.0,1,14,4,0,173,High,1.0,0.21293860857014238,0.052217413994448056,4.696189228974877
RouteID_00b8cd9c-613a-4519-b3fd-2b7174f1cff3,80,25.35136698486583,0.31689208731082286,3313071.0,7,15,4,0,79,High,0.9875,0.31689208731082286,0.023844946274921366,3.155648373823712
RouteID_00bea18c-ee16-4a18-a916-7a447c733a7d,141,30.955644815049148,0.2195435802485755,3313071.0,1,13,2,0,140,Medium,0.9929078014184397,0.2195435802485755,0.042256866816316345,4.554904310423299
RouteID_00ca3fbf-8953-4fbb-9c59-96fce68e6504,138,46.50238346592923,0.33454952133762034,3313071.0,10,15,2,0,138,High,1.0,0.3369737932313712,0.04165319729036897,2.967589824747544
RouteID_00d421bf-f001-4fb0-923e-c343d3d369bc,159,34.04865771418172,0.21414250134705487,3313071.0,1,13,5,0,158,High,0.9937106918238994,0.21414250134705487,0.04768989254984273,4.669787612031894
RouteID_00e4885d-4563-4790-bace-6c9e4261ce2a,136,41.25789581954606,0.30336688102607395,3313071.0,8,13,5,0,135,High,0.9926470588235294,0.30336688102607395,0.040747693001447906,3.2963387322232167
RouteID_00e7fcc6-2f6d-4054-b9ca-e190fa4ecdce,167,44.24512720621689,0.26494088147435263,3313071.0,10,15,3,0,166,Medium,0.9940119760479041,0.26494088147435263,0.05010457065363223,3.7744269379461697
RouteID_00ead793-e8f0-4ac6-a2d7-d988f05cc715,198,33.72876668263483,0.17034730647795368,3313071.0,10,15,5,0,197,High,0.9949494949494949,0.17034730647795368,0.05946144830581657,5.87035991748669
RouteID_00f414f8-ff9a-4d98-aca2-a6b991a2037d,164,50.08395211516444,0.3053899519217344,3313071.0,10,16,5,0,163,High,0.9939024390243902,0.3053899519217344,0.04919906636471117,3.2745019726656914
RouteID_00f9c249-33cd-4124-9cf2-b970b157a5ca,146,55.934725617309915,0.38311455902267066,3313071.0,10,14,2,0,145,High,0.9931506849315068,0.38311455902267066,0.043766040631184784,2.610185325639962
