RouteID,Station,Date,DepartureTime,Capacity,RouteScore,StopID,Latitude,Longitude,StopType,ZoneID,ActualSequence
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,VE,34.007369,-118.143927,Station,,0
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,TG,34.088467,-118.284521,Dropoff,A-2.2A,1
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,GP,34.088709,-118.284839,Dropoff,A-2.2A,2
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,HT,34.088717,-118.286484,Dropoff,A-2.2A,3
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,AG,34.089727,-118.28553,Dropoff,A-2.1A,4
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,QM,34.090901,-118.284257,Dropoff,A-2.1A,5
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,SF,34.092285,-118.283236,Dropoff,A-1.1A,6
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,BY,34.091721,-118.284539,Dropoff,A-1.1A,7
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,CW,34.093458,-118.284798,Dropoff,A-1.2A,8
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,VW,34.093177,-118.283405,Dropoff,A-1.2A,9
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,JH,34.09289,-118.282396,Dropoff,A-1.2A,10
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,LB,34.093152,-118.282542,Dropoff,A-1.2A,11
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,FH,34.093868,-118.283305,Dropoff,A-1.2A,12
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,TK,34.094506,-118.283993,Dropoff,A-1.2A,13
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,PT,34.09581,-118.284534,Dropoff,A-1.3A,14
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,DL,34.094262,-118.283726,Dropoff,A-1.2A,15
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,GU,34.095431,-118.286601,Dropoff,A-1.3A,16
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,KN,34.094347,-118.285564,Dropoff,A-1.3A,17
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,NR,34.092186,-118.285547,Dropoff,A-1.3A,18
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,SC,34.0915,-118.286608,Dropoff,A-1.3A,19
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,3313071.0,High,IJ,34.093126,-118.286591,Dropoff,A-1.3A,20
